2017-08-22 15:01:55,661 INFO: android_total=88, ios_total=12, android_error=37, ios_error=6
2017-08-22 15:04:06,419 INFO: android_total=86, ios_total=14, android_error=58, ios_error=3
2017-08-22 15:04:06,728 INFO: android_total=26, ios_total=10, android_error=19, ios_error=5
2017-08-22 15:04:07,194 INFO: android_total=60, ios_total=4, android_error=22, ios_error=2
2017-08-22 15:04:09,270 INFO: android_total=88, ios_total=12, android_error=53, ios_error=3
2017-08-22 15:04:09,836 INFO: android_total=80, ios_total=20, android_error=45, ios_error=13
2017-08-22 15:04:10,347 INFO: android_total=85, ios_total=15, android_error=55, ios_error=5
2017-08-22 15:04:10,827 INFO: android_total=88, ios_total=12, android_error=56, ios_error=6
2017-08-22 15:04:11,225 INFO: android_total=90, ios_total=10, android_error=40, ios_error=1
2017-08-22 15:04:11,617 INFO: android_total=48, ios_total=9, android_error=30, ios_error=4
2017-08-22 15:04:11,872 INFO: android_total=2, ios_total=1, android_error=0, ios_error=1
2017-08-22 15:04:23,527 INFO: android_total=84, ios_total=16, android_error=36, ios_error=7
2017-08-22 15:04:24,004 INFO: android_total=89, ios_total=11, android_error=51, ios_error=4
2017-08-22 15:04:24,409 INFO: android_total=69, ios_total=8, android_error=37, ios_error=3
2017-08-22 15:04:24,754 INFO: android_total=40, ios_total=5, android_error=11, ios_error=2
2017-08-22 15:04:38,947 INFO: android_total=84, ios_total=16, android_error=35, ios_error=7
2017-08-22 15:04:39,426 INFO: android_total=90, ios_total=10, android_error=52, ios_error=4
2017-08-22 15:04:39,865 INFO: android_total=69, ios_total=9, android_error=37, ios_error=3
2017-08-22 15:04:40,316 INFO: android_total=40, ios_total=5, android_error=11, ios_error=2
2017-08-22 15:04:54,234 INFO: android_total=62, ios_total=38, android_error=33, ios_error=9
2017-08-22 15:04:56,048 INFO: android_total=80, ios_total=20, android_error=36, ios_error=5
2017-08-22 15:04:56,928 INFO: android_total=69, ios_total=31, android_error=35, ios_error=12
2017-08-22 15:04:57,716 INFO: android_total=91, ios_total=9, android_error=25, ios_error=2
2017-08-22 15:04:59,479 INFO: android_total=81, ios_total=19, android_error=39, ios_error=6
2017-08-22 15:05:00,303 INFO: android_total=77, ios_total=23, android_error=39, ios_error=1
2017-08-22 15:05:01,139 INFO: android_total=82, ios_total=18, android_error=39, ios_error=5
2017-08-22 15:05:02,002 INFO: android_total=78, ios_total=22, android_error=48, ios_error=2
2017-08-22 15:05:02,780 INFO: android_total=74, ios_total=26, android_error=39, ios_error=8
2017-08-22 15:05:03,344 INFO: android_total=0, ios_total=1, android_error=0, ios_error=1
2017-08-22 15:05:04,777 INFO: android_total=92, ios_total=7, android_error=36, ios_error=3
2017-08-22 15:05:07,153 INFO: android_total=63, ios_total=14, android_error=32, ios_error=5
2017-08-22 15:05:07,718 INFO: android_total=24, ios_total=0, android_error=9, ios_error=0
2017-08-22 15:05:20,577 INFO: android_total=62, ios_total=38, android_error=32, ios_error=9
2017-08-22 15:05:21,443 INFO: android_total=81, ios_total=19, android_error=38, ios_error=5
2017-08-22 15:05:22,249 INFO: android_total=71, ios_total=29, android_error=34, ios_error=10
2017-08-22 15:05:24,073 INFO: android_total=82, ios_total=18, android_error=38, ios_error=7
2017-08-22 15:05:24,909 INFO: android_total=79, ios_total=21, android_error=38, ios_error=3
2017-08-22 15:05:25,695 INFO: android_total=93, ios_total=7, android_error=29, ios_error=3
2017-08-22 15:05:26,477 INFO: android_total=78, ios_total=22, android_error=38, ios_error=4
2017-08-22 15:05:27,360 INFO: android_total=81, ios_total=19, android_error=45, ios_error=3
2017-08-22 15:05:29,192 INFO: android_total=78, ios_total=22, android_error=46, ios_error=3
2017-08-22 15:05:29,868 INFO: android_total=41, ios_total=17, android_error=21, ios_error=8
2017-08-22 15:05:30,497 INFO: android_total=39, ios_total=3, android_error=10, ios_error=1
2017-08-22 15:05:31,726 INFO: android_total=65, ios_total=11, android_error=31, ios_error=3
2017-08-22 15:05:32,275 INFO: android_total=15, ios_total=0, android_error=6, ios_error=0
2017-08-22 15:05:44,541 INFO: android_total=65, ios_total=35, android_error=35, ios_error=9
2017-08-22 15:05:45,357 INFO: android_total=80, ios_total=20, android_error=35, ios_error=5
2017-08-22 15:05:46,168 INFO: android_total=68, ios_total=32, android_error=36, ios_error=12
2017-08-22 15:05:46,871 INFO: android_total=91, ios_total=9, android_error=25, ios_error=2
2017-08-22 15:05:48,687 INFO: android_total=81, ios_total=19, android_error=38, ios_error=6
2017-08-22 15:05:49,528 INFO: android_total=76, ios_total=24, android_error=40, ios_error=2
2017-08-22 15:05:50,401 INFO: android_total=85, ios_total=15, android_error=43, ios_error=4
2017-08-22 15:05:51,102 INFO: android_total=75, ios_total=25, android_error=43, ios_error=2
2017-08-22 15:05:51,830 INFO: android_total=93, ios_total=7, android_error=36, ios_error=3
2017-08-22 15:05:52,481 INFO: android_total=73, ios_total=27, android_error=41, ios_error=11
2017-08-22 15:05:53,960 INFO: android_total=56, ios_total=11, android_error=26, ios_error=3
2017-08-22 15:05:54,553 INFO: android_total=22, ios_total=0, android_error=9, ios_error=0
2017-08-22 15:06:07,816 INFO: android_total=74, ios_total=26, android_error=22, ios_error=5
2017-08-22 15:06:08,664 INFO: android_total=65, ios_total=15, android_error=23, ios_error=7
2017-08-22 15:06:09,360 INFO: android_total=39, ios_total=9, android_error=11, ios_error=1
2017-08-22 15:06:22,803 INFO: android_total=74, ios_total=26, android_error=22, ios_error=5
2017-08-22 15:06:23,540 INFO: android_total=65, ios_total=15, android_error=23, ios_error=7
2017-08-22 15:06:24,109 INFO: android_total=39, ios_total=9, android_error=11, ios_error=1
2017-08-22 15:06:36,896 INFO: android_total=90, ios_total=10, android_error=58, ios_error=5
2017-08-22 15:06:37,119 INFO: android_total=10, ios_total=0, android_error=8, ios_error=0
2017-08-22 15:06:37,386 INFO: android_total=11, ios_total=2, android_error=5, ios_error=1
2017-08-22 15:06:51,702 INFO: android_total=70, ios_total=30, android_error=46, ios_error=14
2017-08-22 15:06:52,233 INFO: android_total=87, ios_total=13, android_error=56, ios_error=7
2017-08-22 15:06:52,709 INFO: android_total=90, ios_total=10, android_error=52, ios_error=4
2017-08-22 15:06:53,433 INFO: android_total=89, ios_total=11, android_error=53, ios_error=6
2017-08-22 15:06:53,916 INFO: android_total=88, ios_total=12, android_error=38, ios_error=0
2017-08-22 15:06:54,444 INFO: android_total=87, ios_total=13, android_error=59, ios_error=3
2017-08-22 15:06:54,959 INFO: android_total=83, ios_total=17, android_error=48, ios_error=7
2017-08-22 15:06:55,457 INFO: android_total=92, ios_total=8, android_error=69, ios_error=6
2017-08-22 15:06:56,059 INFO: android_total=90, ios_total=10, android_error=63, ios_error=2
2017-08-22 15:06:56,355 INFO: android_total=22, ios_total=0, android_error=15, ios_error=0
2017-08-22 15:06:56,701 INFO: android_total=73, ios_total=5, android_error=30, ios_error=2
2017-08-22 15:06:57,813 INFO: android_total=81, ios_total=19, android_error=50, ios_error=6
2017-08-22 15:06:58,391 INFO: android_total=84, ios_total=16, android_error=57, ios_error=4
2017-08-22 15:06:59,053 INFO: android_total=91, ios_total=9, android_error=68, ios_error=4
2017-08-22 15:06:59,785 INFO: android_total=88, ios_total=12, android_error=63, ios_error=2
2017-08-22 15:07:00,477 INFO: android_total=87, ios_total=13, android_error=52, ios_error=1
2017-08-22 15:07:01,075 INFO: android_total=85, ios_total=15, android_error=39, ios_error=7
2017-08-22 15:07:01,940 INFO: android_total=83, ios_total=17, android_error=57, ios_error=7
2017-08-22 15:07:02,616 INFO: android_total=86, ios_total=14, android_error=55, ios_error=5
2017-08-22 15:07:03,327 INFO: android_total=83, ios_total=17, android_error=54, ios_error=9
2017-08-22 15:07:03,900 INFO: android_total=19, ios_total=3, android_error=14, ios_error=1
2017-08-22 15:07:04,595 INFO: android_total=69, ios_total=9, android_error=29, ios_error=1
2017-08-22 15:07:05,955 INFO: android_total=86, ios_total=14, android_error=54, ios_error=5
2017-08-22 15:07:06,707 INFO: android_total=61, ios_total=15, android_error=41, ios_error=7
2017-08-22 15:07:07,385 INFO: android_total=40, ios_total=4, android_error=15, ios_error=1
2017-08-22 15:07:19,264 INFO: android_total=69, ios_total=31, android_error=43, ios_error=12
2017-08-22 15:07:20,013 INFO: android_total=85, ios_total=15, android_error=49, ios_error=8
2017-08-22 15:07:20,880 INFO: android_total=91, ios_total=9, android_error=52, ios_error=3
2017-08-22 15:07:21,678 INFO: android_total=91, ios_total=9, android_error=54, ios_error=2
2017-08-22 15:07:22,403 INFO: android_total=87, ios_total=13, android_error=41, ios_error=0
2017-08-22 15:07:23,158 INFO: android_total=86, ios_total=14, android_error=58, ios_error=4
2017-08-22 15:07:23,966 INFO: android_total=85, ios_total=15, android_error=55, ios_error=3
2017-08-22 15:07:25,001 INFO: android_total=86, ios_total=14, android_error=62, ios_error=10
2017-08-22 15:07:25,721 INFO: android_total=90, ios_total=10, android_error=62, ios_error=2
2017-08-22 15:07:26,431 INFO: android_total=21, ios_total=1, android_error=15, ios_error=1
2017-08-22 15:07:26,979 INFO: android_total=74, ios_total=4, android_error=30, ios_error=2
2017-08-22 15:07:28,135 INFO: android_total=83, ios_total=17, android_error=55, ios_error=5
2017-08-22 15:07:28,733 INFO: android_total=85, ios_total=15, android_error=55, ios_error=4
2017-08-22 15:07:29,332 INFO: android_total=89, ios_total=11, android_error=65, ios_error=4
2017-08-22 15:07:30,230 INFO: android_total=87, ios_total=13, android_error=62, ios_error=1
2017-08-22 15:07:31,056 INFO: android_total=91, ios_total=9, android_error=59, ios_error=2
2017-08-22 15:07:31,461 INFO: android_total=85, ios_total=15, android_error=40, ios_error=7
2017-08-22 15:07:31,854 INFO: android_total=83, ios_total=17, android_error=48, ios_error=3
2017-08-22 15:07:32,404 INFO: android_total=81, ios_total=19, android_error=51, ios_error=6
2017-08-22 15:07:32,895 INFO: android_total=84, ios_total=16, android_error=55, ios_error=12
2017-08-22 15:07:33,177 INFO: android_total=17, ios_total=4, android_error=13, ios_error=1
2017-08-22 15:07:33,474 INFO: android_total=73, ios_total=6, android_error=31, ios_error=1
2017-08-22 15:07:34,443 INFO: android_total=85, ios_total=15, android_error=56, ios_error=5
2017-08-22 15:07:34,893 INFO: android_total=84, ios_total=16, android_error=55, ios_error=6
2017-08-22 15:07:35,242 INFO: android_total=32, ios_total=8, android_error=22, ios_error=3
2017-08-22 15:07:35,534 INFO: android_total=47, ios_total=6, android_error=18, ios_error=1
2017-08-22 15:07:48,308 INFO: android_total=71, ios_total=29, android_error=46, ios_error=13
2017-08-22 15:07:48,740 INFO: android_total=87, ios_total=13, android_error=56, ios_error=7
2017-08-22 15:07:49,287 INFO: android_total=93, ios_total=7, android_error=54, ios_error=3
2017-08-22 15:07:49,668 INFO: android_total=87, ios_total=13, android_error=55, ios_error=5
2017-08-22 15:07:50,019 INFO: android_total=88, ios_total=12, android_error=40, ios_error=0
2017-08-22 15:07:50,486 INFO: android_total=88, ios_total=12, android_error=58, ios_error=3
2017-08-22 15:07:51,130 INFO: android_total=83, ios_total=17, android_error=53, ios_error=9
2017-08-22 15:07:51,530 INFO: android_total=91, ios_total=9, android_error=69, ios_error=3
2017-08-22 15:07:51,978 INFO: android_total=92, ios_total=8, android_error=63, ios_error=3
2017-08-22 15:07:52,280 INFO: android_total=18, ios_total=6, android_error=14, ios_error=2
2017-08-22 15:07:52,568 INFO: android_total=70, ios_total=6, android_error=29, ios_error=2
2017-08-22 15:07:53,443 INFO: android_total=83, ios_total=17, android_error=54, ios_error=5
2017-08-22 15:07:53,972 INFO: android_total=87, ios_total=13, android_error=65, ios_error=3
2017-08-22 15:07:54,409 INFO: android_total=91, ios_total=9, android_error=63, ios_error=2
2017-08-22 15:07:54,820 INFO: android_total=89, ios_total=11, android_error=62, ios_error=3
2017-08-22 15:07:55,211 INFO: android_total=87, ios_total=13, android_error=40, ios_error=7
2017-08-22 15:07:55,574 INFO: android_total=84, ios_total=16, android_error=55, ios_error=4
2017-08-22 15:07:56,042 INFO: android_total=82, ios_total=18, android_error=53, ios_error=5
2017-08-22 15:07:56,522 INFO: android_total=83, ios_total=17, android_error=55, ios_error=11
2017-08-22 15:07:57,237 INFO: android_total=86, ios_total=14, android_error=57, ios_error=5
2017-08-22 15:07:57,466 INFO: android_total=10, ios_total=2, android_error=4, ios_error=0
2017-08-22 15:07:57,762 INFO: android_total=78, ios_total=10, android_error=35, ios_error=1
2017-08-22 15:07:58,658 INFO: android_total=77, ios_total=17, android_error=55, ios_error=9
2017-08-22 15:07:58,856 INFO: android_total=20, ios_total=2, android_error=7, ios_error=1
2017-08-22 15:08:11,381 INFO: android_total=67, ios_total=33, android_error=40, ios_error=11
2017-08-22 15:08:11,839 INFO: android_total=86, ios_total=14, android_error=58, ios_error=8
2017-08-22 15:08:12,281 INFO: android_total=89, ios_total=11, android_error=51, ios_error=4
2017-08-22 15:08:12,754 INFO: android_total=91, ios_total=9, android_error=57, ios_error=1
2017-08-22 15:08:13,160 INFO: android_total=87, ios_total=13, android_error=40, ios_error=0
2017-08-22 15:08:13,609 INFO: android_total=87, ios_total=13, android_error=58, ios_error=7
2017-08-22 15:08:14,126 INFO: android_total=87, ios_total=13, android_error=49, ios_error=3
2017-08-22 15:08:14,598 INFO: android_total=85, ios_total=15, android_error=53, ios_error=9
2017-08-22 15:08:15,119 INFO: android_total=91, ios_total=9, android_error=68, ios_error=2
2017-08-22 15:08:15,351 INFO: android_total=20, ios_total=2, android_error=12, ios_error=0
2017-08-22 15:08:15,681 INFO: android_total=75, ios_total=3, android_error=28, ios_error=2
2017-08-22 15:08:17,077 INFO: android_total=93, ios_total=7, android_error=65, ios_error=4
2017-08-22 15:08:17,535 INFO: android_total=82, ios_total=18, android_error=51, ios_error=6
2017-08-22 15:08:17,983 INFO: android_total=88, ios_total=12, android_error=63, ios_error=3
2017-08-22 15:08:18,417 INFO: android_total=88, ios_total=12, android_error=60, ios_error=6
2017-08-22 15:08:18,945 INFO: android_total=88, ios_total=12, android_error=62, ios_error=4
2017-08-22 15:08:19,349 INFO: android_total=83, ios_total=17, android_error=39, ios_error=6
2017-08-22 15:08:19,863 INFO: android_total=85, ios_total=15, android_error=47, ios_error=1
2017-08-22 15:08:20,321 INFO: android_total=84, ios_total=16, android_error=58, ios_error=6
2017-08-22 15:08:20,816 INFO: android_total=83, ios_total=17, android_error=51, ios_error=4
2017-08-22 15:08:21,172 INFO: android_total=26, ios_total=3, android_error=16, ios_error=3
2017-08-22 15:08:21,540 INFO: android_total=67, ios_total=4, android_error=27, ios_error=1
2017-08-22 15:08:22,719 INFO: android_total=82, ios_total=18, android_error=52, ios_error=9
2017-08-22 15:08:23,166 INFO: android_total=86, ios_total=14, android_error=55, ios_error=4
2017-08-22 15:08:23,661 INFO: android_total=83, ios_total=17, android_error=52, ios_error=9
2017-08-22 15:08:24,043 INFO: android_total=10, ios_total=2, android_error=9, ios_error=1
2017-08-22 15:08:24,321 INFO: android_total=65, ios_total=9, android_error=26, ios_error=2
2017-08-22 15:08:36,516 INFO: android_total=84, ios_total=16, android_error=34, ios_error=5
2017-08-22 15:08:36,793 INFO: android_total=16, ios_total=3, android_error=6, ios_error=0
2017-08-22 15:08:37,025 INFO: android_total=16, ios_total=2, android_error=4, ios_error=0
2017-08-22 15:08:50,411 INFO: android_total=65, ios_total=35, android_error=40, ios_error=12
2017-08-22 15:08:51,841 INFO: android_total=84, ios_total=16, android_error=49, ios_error=6
2017-08-22 15:08:52,265 INFO: android_total=89, ios_total=11, android_error=54, ios_error=5
2017-08-22 15:08:52,768 INFO: android_total=92, ios_total=8, android_error=55, ios_error=1
2017-08-22 15:08:53,218 INFO: android_total=86, ios_total=14, android_error=54, ios_error=6
2017-08-22 15:08:53,651 INFO: android_total=88, ios_total=12, android_error=56, ios_error=3
2017-08-22 15:08:54,165 INFO: android_total=83, ios_total=17, android_error=53, ios_error=9
2017-08-22 15:08:55,091 INFO: android_total=91, ios_total=9, android_error=32, ios_error=1
2017-08-22 15:08:55,586 INFO: android_total=91, ios_total=9, android_error=64, ios_error=4
2017-08-22 15:08:56,059 INFO: android_total=70, ios_total=7, android_error=49, ios_error=1
2017-08-22 15:08:56,315 INFO: android_total=23, ios_total=0, android_error=13, ios_error=0
2017-08-22 15:08:57,506 INFO: android_total=87, ios_total=13, android_error=57, ios_error=5
2017-08-22 15:08:57,975 INFO: android_total=84, ios_total=16, android_error=52, ios_error=4
2017-08-22 15:08:58,415 INFO: android_total=85, ios_total=15, android_error=61, ios_error=3
2017-08-22 15:08:59,007 INFO: android_total=90, ios_total=10, android_error=61, ios_error=2
2017-08-22 15:08:59,449 INFO: android_total=89, ios_total=11, android_error=57, ios_error=2
2017-08-22 15:08:59,979 INFO: android_total=86, ios_total=14, android_error=52, ios_error=1
2017-08-22 15:09:00,516 INFO: android_total=85, ios_total=15, android_error=55, ios_error=6
2017-08-22 15:09:01,193 INFO: android_total=87, ios_total=13, android_error=34, ios_error=7
2017-08-22 15:09:01,570 INFO: android_total=86, ios_total=14, android_error=55, ios_error=4
2017-08-22 15:09:01,942 INFO: android_total=61, ios_total=20, android_error=37, ios_error=12
2017-08-22 15:09:02,162 INFO: android_total=17, ios_total=2, android_error=8, ios_error=1
2017-08-22 15:09:03,359 INFO: android_total=84, ios_total=16, android_error=56, ios_error=4
2017-08-22 15:09:03,883 INFO: android_total=84, ios_total=16, android_error=56, ios_error=6
2017-08-22 15:09:04,256 INFO: android_total=44, ios_total=12, android_error=27, ios_error=5
2017-08-22 15:09:04,514 INFO: android_total=35, ios_total=4, android_error=12, ios_error=0
2017-08-22 15:09:17,636 INFO: android_total=83, ios_total=14, android_error=50, ios_error=5
2017-08-22 15:09:17,905 INFO: android_total=14, ios_total=0, android_error=6, ios_error=0
2017-08-22 15:09:31,150 INFO: android_total=83, ios_total=14, android_error=50, ios_error=5
2017-08-22 15:09:31,423 INFO: android_total=14, ios_total=0, android_error=6, ios_error=0
2017-08-22 15:09:44,056 INFO: android_total=72, ios_total=28, android_error=21, ios_error=8
2017-08-22 15:09:44,413 INFO: android_total=47, ios_total=9, android_error=16, ios_error=4
2017-08-22 15:09:44,716 INFO: android_total=34, ios_total=8, android_error=11, ios_error=1
2017-08-22 15:09:58,687 INFO: android_total=83, ios_total=17, android_error=29, ios_error=8
2017-08-22 15:09:59,152 INFO: android_total=87, ios_total=13, android_error=38, ios_error=5
2017-08-22 15:09:59,563 INFO: android_total=64, ios_total=9, android_error=29, ios_error=4
2017-08-22 15:09:59,839 INFO: android_total=43, ios_total=6, android_error=11, ios_error=2
2017-08-22 15:10:13,305 INFO: android_total=68, ios_total=32, android_error=43, ios_error=12
2017-08-22 15:10:14,092 INFO: android_total=85, ios_total=15, android_error=54, ios_error=8
2017-08-22 15:10:14,639 INFO: android_total=92, ios_total=8, android_error=58, ios_error=3
2017-08-22 15:10:15,111 INFO: android_total=90, ios_total=10, android_error=56, ios_error=4
2017-08-22 15:10:15,563 INFO: android_total=88, ios_total=12, android_error=63, ios_error=3
2017-08-22 15:10:16,023 INFO: android_total=83, ios_total=17, android_error=46, ios_error=8
2017-08-22 15:10:16,488 INFO: android_total=92, ios_total=8, android_error=34, ios_error=1
2017-08-22 15:10:16,861 INFO: android_total=91, ios_total=9, android_error=67, ios_error=6
2017-08-22 15:10:17,388 INFO: android_total=91, ios_total=9, android_error=62, ios_error=1
2017-08-22 15:10:17,756 INFO: android_total=63, ios_total=13, android_error=46, ios_error=6
2017-08-22 15:10:18,069 INFO: android_total=22, ios_total=2, android_error=11, ios_error=0
2017-08-22 15:10:19,160 INFO: android_total=83, ios_total=17, android_error=53, ios_error=4
2017-08-22 15:10:19,760 INFO: android_total=85, ios_total=15, android_error=62, ios_error=3
2017-08-22 15:10:20,324 INFO: android_total=93, ios_total=7, android_error=65, ios_error=2
2017-08-22 15:10:20,913 INFO: android_total=90, ios_total=10, android_error=59, ios_error=2
2017-08-22 15:10:21,421 INFO: android_total=86, ios_total=14, android_error=51, ios_error=2
2017-08-22 15:10:21,975 INFO: android_total=78, ios_total=22, android_error=54, ios_error=7
2017-08-22 15:10:22,466 INFO: android_total=87, ios_total=13, android_error=34, ios_error=8
2017-08-22 15:10:22,895 INFO: android_total=89, ios_total=11, android_error=58, ios_error=7
2017-08-22 15:10:23,488 INFO: android_total=82, ios_total=18, android_error=57, ios_error=7
2017-08-22 15:10:23,958 INFO: android_total=60, ios_total=9, android_error=39, ios_error=2
2017-08-22 15:10:24,284 INFO: android_total=28, ios_total=3, android_error=11, ios_error=0
